application,service,application_env,repo_id,repo_branch,job_template,dockerfile,context,environment_master,registry_name
airtel-africa,airtel-africa-login,dev-zm,ot-micro-salary,main,airtel-africa-v2,Dockerfile,.,dev,bp
airtel-africa,airtel-africa-python-app,dev-zm,ot-micro-salary,main,airtel-africa-v2,Dockerfile,.,dev,bp
airtel-africa,airtel-africa-salary,dev-zm,ot-micro-salary,main,airtel-africa-v2,Dockerfile,.,dev,bp
airtel-africa,airtel-africa-login,dev-ug,ot-micro-salary,main,airtel-africa-v2,Dockerfile,.,dev,bp
airtel-africa,airtel-africa-python-app,dev-ug,ot-micro-salary,main,airtel-africa-v2,Dockerfile,.,dev,bp
airtel-africa,airtel-africa-salary,dev-ug,ot-micro-salary,main,airtel-africa-v2,Dockerfile,.,dev,bp
airtel-africa,airtel-africa-login,dev-ke,ot-micro-salary,main,airtel-africa-v2,Dockerfile,.,dev,bp
airtel-africa,airtel-africa-python-app,dev-ke,ot-micro-salary,main,airtel-africa-v2,Dockerfile,.,dev,bp
airtel-africa,airtel-africa-salary,dev-ke,ot-micro-salary,main,airtel-africa-v2,Dockerfile,.,dev,bp
airtel-africa,airtel-africa-login,qa-zm,ot-micro-salary,main,airtel-africa-v2,Dockerfile,.,qa,bp
airtel-africa,airtel-africa-python-app,qa-zm,ot-micro-salary,main,airtel-africa-v2,Dockerfile,.,qa,bp
airtel-africa,airtel-africa-salary,qa-zm,ot-micro-salary,main,airtel-africa-v2,Dockerfile,.,qa,bp
airtel-africa,airtel-africa-login,qa-ug,ot-micro-salary,main,airtel-africa-v2,Dockerfile,.,qa,bp
airtel-africa,airtel-africa-python-app,qa-ug,ot-micro-salary,main,airtel-africa-v2,Dockerfile,.,qa,bp
airtel-africa,airtel-africa-salary,qa-ug,ot-micro-salary,main,airtel-africa-v2,Dockerfile,.,qa,bp
airtel-africa,airtel-africa-login,qa-ke,ot-micro-salary,main,airtel-africa-v2,Dockerfile,.,qa,bp
airtel-africa,airtel-africa-python-app,qa-ke,ot-micro-salary,main,airtel-africa-v2,Dockerfile,.,qa,bp
airtel-africa,airtel-africa-salary,qa-ke,ot-micro-salary,main,airtel-africa-v2,Dockerfile,.,qa,bp
airtel-africa,airtel-africa-login,prod-zm,ot-micro-salary,main,airtel-africa-v2,Dockerfile,.,prod,bp
airtel-africa,airtel-africa-python-app,prod-zm,ot-micro-salary,main,airtel-africa-v2,Dockerfile,.,prod,bp
airtel-africa,airtel-africa-salary,prod-zm,ot-micro-salary,main,airtel-africa-v2,Dockerfile,.,prod,bp
airtel-africa,airtel-africa-login,prod-ug,ot-micro-salary,main,airtel-africa-v2,Dockerfile,.,prod,bp
airtel-africa,airtel-africa-python-app,prod-ug,ot-micro-salary,main,airtel-africa-v2,Dockerfile,.,prod,bp
airtel-africa,airtel-africa-salary,prod-ug,ot-micro-salary,main,airtel-africa-v2,Dockerfile,.,prod,bp
airtel-africa,airtel-africa-login,prod-ke,ot-micro-salary,main,airtel-africa-v2,Dockerfile,.,prod,bp
airtel-africa,airtel-africa-python-app,prod-ke,ot-micro-salary,main,airtel-africa-v2,Dockerfile,.,prod,bp
airtel-africa,airtel-africa-salary,prod-ke,ot-micro-salary,main,airtel-africa-v2,Dockerfile,.,prod,bp
